Number,Fuente,Author,Year,Title,Publication,Pages,Language
2008,IMERNAR,,1844,"Catalogue of the tortoises, crocodiles, and amphisbaenians in the collection of the British Museum.","London, British Museum.",viii+-80 p.,en
2009,IMERNAR,,1844,"Mammalia. In The zoology of the voyage of H. M. S. Sulphur, under the command of Captain Sir Edward Belcher, during the years 1836-42.",London. v. i,Sep-36,en
3460,IMERNAR,"OWEN, R.",1844,Characters of a new species of Axolotl.,Ann. Mag. Nat. Hist.,14:23,en
1600,IMERNAR,,1844,Erpétologie générale ou histoire naturelle compléte des reptiles.,"Paris, Lib. Encycl. Rorer. v. 6",xii+609 ?.,fr
2200,IMERNAR,"HARTLAUB, G.",1844,Descriptions de sept oiseaux de Guatemala.,"Rev. Zool., 7",214-216,fr
2010,IMERNAR,,1845,Catalogue of the specimens of lizards in the collection of the British Museum.,"London, Edward Newman.",xxviii + 289 p.,en
311,IMERNAR,"AUDUBON, J. J. y J. BACHMAN.",1846,The viviparous quadrupeds of North America.,"New York, V. G. Audubon. v. 1, xv +389 p. (1846); v. 2, 334 p. (1851); v. 3, 384 p. (1854).",,en
744,IMERNAR,"BOURCIER, J. y E. MULSANT.",1846,Description de vingt espéces nouvelles d'oiseaux-mouches.,"Ann. Sci. Phys. Nat. Lyon, 9","314, 321, 326, 328, 330.",fr
2011,IMERNAR,,1847,Characters of six new genera of bats not hitherto distinguished.,"Proc. Zool. Soc. London, pt. 15",14-16,en
1472,IMERNAR,"DUBUS, B.",1847,Note sur quelques espéces nouvelles d'oiseaux d'Amérique.,"Bull. Acad. Roy. Sci. Lettr. Beaux-Arts Belg., 14",101-108.,fr
4849,IMERNAR,"WATERHOUSE, G. R.",1848,A natural history of the Mammalia.,"London, Hyppolyte Bailliére. v. 2",500 p.,en
1790,IMERNAR,"FRIEDREICH, N. y C. Gegenbauer",1849,"Der schädel des axolotl, geschreiben und abgebildet.",Ber. Zool. Anst. Würzburg,28-34.,de
340,IMERNAR,"BAIRD, S. F.",1849,"Revision of the North American tailed-batrachia, with descriptions of new genera and species.","Jour. Acad. Nat. Sci. Phila., ser. 2",1:231-294,en
4789,IMERNAR,"WAGNER, A.",1850,Kenntniss der saugethiere Amerikas.,"Abhandl. Bayerischen Akad. Wiss. (München), 5",125-208,de
2012,IMERNAR,,1850,"Catalogue of the specimens of Amphibia in the collection of the British Museum, Part II. Batrachia Gradientia.","London, Brittish Museum.",72 p.,en
692,IMERNAR,"BONAPARTE, C. L.",1850,Note sur plusieurs families naturelles d'Oiseaux et descriptions d'espéces nouvelles.,Compt. Rend. Acad. Sci.,31:561-564,fr
691,IMERNAR,"BONAPARTE, C. L.",1850,Conspectus generum avium.,"Lugduni Batavorum, E. J. Brill.","v. 1, 543 p.",la
1002,IMERNAR,"CABANIS, 1.",1851,"Museum Heincanum, verzeichniss der ornithologischen sammlung des obsratmann Ferdinand Heine, auf Gut St. Burchard vor Halberstadt. Mit. Kitischen anumerkungen und beschreibung der neuen arten, systematish bearocins ve Dr. Jean Cabanis.","Halberstadt, R. Frantz.",viii+176 p.,de
1002,IMERNAR,"CABANIS, 1.",1851,"Museum Heincanum, verzeichniss der ornithologischen sammlung des obsratmann Ferdinand Heine, auf Gut St. Burchard vor Halberstadt. Mit. Kitischen anumergen und beschreibung der neuen arten, systematish bearocins ve Dr. Jean Cabanis. Halberstadt, R. Frantz.",viii+176 p.,viii+176,de
592,IMERNAR,"BERLANDIER, L.",1851,On the species of Mexican wolves: with preliminary remarks by a committee of the Academy of Natural Sciences of Philadelphia.,"Proc. Acad. Nat. Sci. Phila.,",5:156-157.,en
1601,IMERNAR,"DUMÉRIL, A. M. C. y A. DUMÉRIL.",1851,Catalogue méthodique de la collection des reptiles du Muséum d'Histoire Naturelle.,"Paris, Gide & Boudry",iv+224 p.,fr
357,IMERNAR,"BAIRD, S. F. y C. GIRARD.",1852,Characteristics of some new reptiles in the Museum of the Smithsonian Institution I.,Proc. Acad. Nat. Sci. Phila.,6:68-70.,en
358,IMERNAR,"BAIRD, S. F. y C. GIRARD.",1852,Characteristics of some new reptiles in the Museum of the Smithsonian Institution II.,Proc. Acad. Nat. Sci. Phila.,6:125-129.,en
359,IMERNAR,"BAIRD, S. F. y C. GIRARD.",1852,Characteristics of some new reptiles in the Museum of the Smithsonian Institution III.,Proc. Acad. Nat. Sci. Phila.,0.370138889,en
360,IMERNAR,"BAIRD, S. F. y C. GIRARD.",1852,Reptiles. In Stanbury's Exploration and Survey of the Valley of the Great Salt Lake of Utah.,"Philadelphia, Lip-pincott, Grambo and Co.",336-365.,en
2159,IMERNAR,"HALLOWELL, E.",1852,Descriptions of new species of reptiles inhabiting North America.,"Proc. Acad. Nat. Sci. Phila., 6",177-182,en
2160,IMERNAR,"HALLOWELL, E.",1852,On a new genus and three new species of reptiles inhabiting North America.,"Proc. Acad. Nat. Sci. Phila., 6",206-209,en
361,IMERNAR,"BAIRD, S. F. y C. GIRARD.",1853,"Catalogue of North American reptiles in the Museum of the Smithsonian Institution, Part I, Serpentes.","Washington, Smiths. Inst.",xvi-4-172 p.,en
