,Numero,Year,EXPEDIENTE,Nombre,NIVEL,Area,Disciplina,Subdisciplina,Especialidad,Institucion,Dependencia,Entidad,Pais,CVU
7385,264488,2015,122727,MARTINEZ_ LOPEZ_ AIDA,1,I.- FISICO-MATEMATICAS Y CIENCIAS DE LA TIERRA,CIENCIAS DE LA TIERRA Y DEL COSMOS,OCEANOGRAFIA BIOLOGICA,ECOLOGIA DEL FITOPLANCTON Y CAMBIO CLIM┴TI,INSTITUTO POLITECNICO NACIONAL,CENTRO INTERDISCIPLINARIO DE CIENCIAS MARINAS,Baja California Sur,MEXICO,NA
7386,287762,2016,122727,MARTINEZ_ LOPEZ_ AIDA,1,I.- FISICO-MATEMATICAS Y CIENCIAS DE LA TIERRA,CIENCIAS DE LA TIERRA Y DEL COSMOS,OCEANOGRAFIA,ECOLOGIA DEL FITOPLANCTON Y CAMBIO CLIMATI,INSTITUTO POLITECNICO NACIONAL,CENTRO INTERDISCIPLINARIO DE CIENCIAS MARINAS,Baja California Sur,MEXICO,NA
7387,312846,2017,122727,MARTINEZ_ LOPEZ_ AIDA,1,I.- FISICO-MATEMATICAS Y CIENCIAS DE LA TIERRA,CIENCIAS DE LA TIERRA Y DEL COSMOS,OTRAS ESPECIALIDADES EN MATERIA DE CIENCIAS DE LA,ECOLOGIA DEL FITOPLANCTON Y CAMBIO CLIMATICO,INSTITUTO POLITECNICO NACIONAL,CENTRO INTERDISCIPLINARIO DE CIENCIAS MARINAS,Baja California Sur,MEXICO,NA
7388,339856,2018,122727,MARTINEZ_ LOPEZ_ AIDA,1,I.- FISICO-MATEMATICAS Y CIENCIAS DE LA TIERRA,CIENCIAS DE LA TIERRA Y DEL COSMOS,OTRAS ESPECIALIDADES EN MATERIA DE CIENCIAS DE LA,ECOLOGIA DEL FITOPLANCTON Y CAMBIO CLIMATICO,INSTITUTO POLITECNICO NACIONAL,CENTRO INTERDISCIPLINARIO DE CIENCIAS MARINAS,Baja California Sur,MEXICO,NA
7389,368401,2019,122727,MARTINEZ_ LOPEZ_ AIDA,1,I.- FISICO-MATEMATICAS Y CIENCIAS DE LA TIERRA,CIENCIAS DE LA TIERRA Y DEL COSMOS,,ECOLOGIA DEL FITOPLANCTON Y CAMBIO CLIMATICO,INSTITUTO POLITECNICO NACIONAL,CENTRO INTERDISCIPLINARIO DE CIENCIAS MARINAS,Baja California Sur,MEXICO,NA
7390,399074,2020,122727,MARTINEZ_ LOPEZ_ AIDA,1,I.- FISICO-MATEMATICAS Y CIENCIAS DE LA TIERRA,CIENCIAS DE LA TIERRA Y DEL COSMOS,OTRAS ESPECIALIDADES EN MATERIA DE CIENCIAS DE LA,ECOLOGIA DEL FITOPLANCTON Y CAMBIO CLIMATICO,INSTITUTO POLITECNICO NACIONAL,CENTRO INTERDISCIPLINARIO DE CIENCIAS MARINAS,Baja California Sur,MEXICO,NA
7384,239840,2014,122727,MARTINEZ_ LOPEZ_ AIDA,1,I.- FISICO-MATEMATICAS Y CIENCIAS DE LA TIERRA,CIENCIAS DE LA TIERRA Y DEL COSMOS,OCEANOGRAFIA,ECOLOGIA DEL FITOPLANCTON Y CAMBIO CLIM-TI,INSTITUTO POLITECNICO NACIONAL,CENTRO INTERDISCIPLINARIO DE CIENCIAS MARINAS,Baja California Sur,MEXICO,122727
7392,107006,2005,32818,MARTINEZ_ MARTINEZ_ LUCIA_ LOURDES,C,II.- BIOLOGIA Y QUIMICA,BIOLOGIA,MICROBIOLOGIA,ECOLOGIA MICROBIANA Y MOLECULAR,UNIVERSIDAD AUTONOMA BENITO JUAREZ DE OAXACA,FACULTAD DE MEDICINA Y CIRUGIA,Oaxaca,MEXICO,NA
7393,133395,2008,32818,MARTINEZ_ MARTINEZ_ LUCIA_ LOURDES,C,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,MICROBIOLOGIA,ECOLOGIA MICROBIANA Y MOLECULAR,UNIVERSIDAD AUTONOMA BENITO JUAREZ DE OAXACA,FACULTAD DE MEDICINA Y CIRUGIA,Oaxaca,MEXICO,121544
7395,282276,2016,40951,MARTINEZ_ MENDEZ_ NORBERTO,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,OTRAS ESPECIALIDADES EN MATERIA DE BIOLOGIA,FILOGEOGRAFIA Y MODELADO DE NICHO ECOLOGICO,INSTITUTO POLITECNICO NACIONAL,ESCUELA NACIONAL DE CIENCIAS BIOLOGICAS,Ciudad de Mexico,MEXICO,NA
7396,307270,2017,40951,MARTINEZ_ MENDEZ_ NORBERTO,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,OTRAS ESPECIALIDADES EN MATERIA DE BIOLOGIA,FILOGEOGRAFIA Y MODELADO DE NICHO ECOLOGICO,INSTITUTO POLITECNICO NACIONAL,ESCUELA NACIONAL DE CIENCIAS BIOLOGICAS,Ciudad de Mexico,MEXICO,NA
7397,334262,2018,40951,MARTINEZ_ MENDEZ_ NORBERTO,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,OTRAS ESPECIALIDADES EN MATERIA DE BIOLOGIA,FILOGEOGRAFIA Y MODELADO DE NICHO ECOLOGICO,INSTITUTO POLITECNICO NACIONAL,ESCUELA NACIONAL DE CIENCIAS BIOLOGICAS,Ciudad de Mexico,MEXICO,NA
7398,362761,2019,40951,MARTINEZ_ MENDEZ_ NORBERTO,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,OTRAS,FILOGEOGRAFIA Y MODELADO DE NICHO ECOLOGICO,INSTITUTO POLITECNICO NACIONAL,ESCUELA NACIONAL DE CIENCIAS BIOLOGICAS,Ciudad de Mexico,MEXICO,NA
7399,393210,2020,40951,MARTINEZ_ MENDEZ_ NORBERTO,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,OTRAS ESPECIALIDADES EN MATERIA DE BIOLOGIA,FILOGEOGRAFIA Y MODELADO DE NICHO ECOLOGICO,INSTITUTO POLITECNICO NACIONAL,ESCUELA NACIONAL DE CIENCIAS BIOLOGICAS,Ciudad de Mexico,MEXICO,NA
7401,426109,2022,40951,MARTINEZ_ MENDEZ_ NORBERTO,1,II.- BIOLOGIA Y QUIMICA,OTRAS ESPECIALIDADES EN MATERIA DE BIOLOGIA,,FILOGEOGRAFIA Y MODELADO DE NICHO ECOLOGICO,NA,UNIDADES ACADEMICAS DE NIVEL SUPERIOR,NA,MEXICO,NA
7394,259039,2015,40951,MARTINEZ_ MENDEZ_ NORBERTO,C,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,OTROS,SISTEMATICA Y ECOLOGIA,INSTITUTO POLITECNICO NACIONAL,ESCUELA NACIONAL DE CIENCIAS BIOLOGICAS,Ciudad de Mexico,MEXICO,NA
7400,239877,2014,40951,MARTINEZ_ MENDEZ_ NORBERTO,C,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,BIOLOGIA ANIMAL Y ZOOLOGIA,SISTEM-TICA FILOGEN+TICA Y ECOLOGIA T+RMIC,INSTITUTO POLITECNICO NACIONAL,ESCUELA NACIONAL DE CIENCIAS BIOLOGICAS,Ciudad de Mexico,MEXICO,40951
7403,164771,2010,30268,MARTINEZ_ MEYER_ ENRIQUE,2,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,OTRAS ESPECIALIDADES EN MATERIA DE BIOLOGIA,"BIOGEOGRAFIA, ECOLOGIA DE MAMIFEROS, EVOLUCION",UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE BIOLOGIA,Ciudad de Mexico,MEXICO,30268
7404,148607,2009,30268,MARTINEZ_ MEYER_ ENRIQUE,2,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,ECOLOGIA,"BIOGEOGRAFIA, ECOLOGIA DE MAMIFEROS, EVOLUCION",UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE BIOLOGIA,Ciudad de Mexico,MEXICO,30268
7413,133404,2008,30268,MARTINEZ_ MEYER_ ENRIQUE,2,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,OTRAS ESPECIALIDADES EN MATERIA DE BIOLOGIA,"BIOGEOGRAFIA, ECOLOGIA DE MAMIFEROS, EVOLUCION",UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE BIOLOGIA,Ciudad de Mexico,MEXICO,30268
7408,256835,2015,30268,MARTINEZ_ MEYER_ ENRIQUE,2,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,,ECOLOGIA GEOGR┴FICA,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE BIOLOGIA,Ciudad de Mexico,MEXICO,NA
7406,200045,2012,30268,MARTINEZ_ MEYER_ ENRIQUE,2,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,OTRAS ESPECIALIDADES EN MATERIA DE BIOLOGIA,ECOLOGIA GEOGRAFICA,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE BIOLOGIA,Ciudad de Mexico,MEXICO,30268
7405,181892,2011,30268,MARTINEZ_ MEYER_ ENRIQUE,2,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,OTRAS ESPECIALIDADES EN MATERIA DE BIOLOGIA,ECOLOGIA GEOGR-FICA,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE BIOLOGIA,Ciudad de Mexico,MEXICO,30268
7407,239884,2014,30268,MARTINEZ_ MEYER_ ENRIQUE,2,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,OTRAS ESPECIALIDADES EN MATERIA DE BIOLOGIA,ECOLOGIA GEOGR-FICA,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE BIOLOGIA,Ciudad de Mexico,MEXICO,30268
7409,305067,2017,30268,MARTINEZ_ MEYER_ ENRIQUE,3,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,OTRAS ESPECIALIDADES EN MATERIA DE BIOLOGIA,ECOLOGIA Y BIOGEOGRAFIA,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE BIOLOGIA,Ciudad de Mexico,MEXICO,NA
7410,332078,2018,30268,MARTINEZ_ MEYER_ ENRIQUE,3,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,OTRAS ESPECIALIDADES EN MATERIA DE BIOLOGIA,ECOLOGIA Y BIOGEOGRAFIA,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE BIOLOGIA,Ciudad de Mexico,MEXICO,NA
7411,360598,2019,30268,MARTINEZ_ MEYER_ ENRIQUE,3,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,,ECOLOGIA Y BIOGEOGRAFIA,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE BIOLOGIA,Ciudad de Mexico,MEXICO,NA
7412,391030,2020,30268,MARTINEZ_ MEYER_ ENRIQUE,3,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,OTRAS ESPECIALIDADES EN MATERIA DE BIOLOGIA,ECOLOGIA Y BIOGEOGRAFIA,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE BIOLOGIA,Ciudad de Mexico,MEXICO,NA
7414,423912,2022,30268,MARTINEZ_ MEYER_ ENRIQUE,1,II.- BIOLOGIA Y QUIMICA,OTRAS ESPECIALIDADES EN MATERIA DE BIOLOGIA,,ECOLOGIA Y BIOGEOGRAFIA,NA,COORDINACION DE INVESTIGACION CIENTIFICA,NA,MEXICO,NA
7402,476789,2023,30268,MARTINEZ_ MEYER_ ENRIQUE,3,II.- BIOLOGIA Y QUIMICA,ECOLOGIA,NA,ECOLOGIA Y CIENCIAS AMBIENTALES,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO (UNAM),NA,NA,MEXICO,NA
7415,514109,2024,30268,MARTINEZ_ MEYER_ ENRIQUE,3,NA,ECOLOGIA,NA,ECOLOGIA Y CIENCIAS AMBIENTALES,NA,NA,NA,MEXICO,NA
7422,133415,2008,2995,MARTINEZ_ MORALES_ GUADALUPE_ IMELDA,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,,COMPORTAMIENTO REPRODUCTIVO Y ECOLOGIA EN INSECTO,"INSTITUTO DE ECOLOGIA, A.C. (INECOL)",AREA DE ECOLOGIA BIOSISTEMATICA DE ANIMALES Y BIOGEOGRAFIA,Veracruz,MEXICO,2995
7416,15587,1993,2995,MARTINEZ_ MORALES_ GUADALUPE_ IMELDA,1,II.- BIOLOGIA Y QUIMICA,BIOLOGIA,OTRAS SUBDISCIPLINAS DE LA BIOLOGIA,COMPORTAMIENTO REPRODUCTIVO Y ECOLOGIA EN INSECTOS,"INSTITUTO DE ECOLOGIA, A.C. (INECOL)",AREA DE ECOLOGIA BIOSISTEMATICA DE ANIMALES Y BIOGEOGRAFIA,Veracruz,MEXICO,NA
7417,21664,1994,2995,MARTINEZ_ MORALES_ GUADALUPE_ IMELDA,1,II.- BIOLOGIA Y QUIMICA,BIOLOGIA,OTRAS SUBDISCIPLINAS DE LA BIOLOGIA,COMPORTAMIENTO REPRODUCTIVO Y ECOLOGIA EN INSECTOS,"INSTITUTO DE ECOLOGIA, A.C. (INECOL)",AREA DE ECOLOGIA BIOSISTEMATICA DE ANIMALES Y BIOGEOGRAFIA,Veracruz,MEXICO,NA
7418,33492,1996,2995,MARTINEZ_ MORALES_ GUADALUPE_ IMELDA,1,II.- BIOLOGIA Y QUIMICA,BIOLOGIA,OTRAS SUBDISCIPLINAS DE LA BIOLOGIA,COMPORTAMIENTO REPRODUCTIVO Y ECOLOGIA EN INSECTOS,"INSTITUTO DE ECOLOGIA, A.C. (INECOL)",AREA DE ECOLOGIA BIOSISTEMATICA DE ANIMALES Y BIOGEOGRAFIA,Veracruz,MEXICO,NA
7419,39609,1997,2995,MARTINEZ_ MORALES_ GUADALUPE_ IMELDA,1,II.- BIOLOGIA Y QUIMICA,BIOLOGIA,OTRAS SUBDISCIPLINAS DE LA BIOLOGIA,COMPORTAMIENTO REPRODUCTIVO Y ECOLOGIA EN INSECTOS,"INSTITUTO DE ECOLOGIA, A.C. (INECOL)",AREA DE ECOLOGIA BIOSISTEMATICA DE ANIMALES Y BIOGEOGRAFIA,Veracruz,MEXICO,NA
7420,46109,1998,2995,MARTINEZ_ MORALES_ GUADALUPE_ IMELDA,1,II.- BIOLOGIA Y QUIMICA,BIOLOGIA,OTRAS SUBDISCIPLINAS DE LA BIOLOGIA,COMPORTAMIENTO REPRODUCTIVO Y ECOLOGIA EN INSECTOS,"INSTITUTO DE ECOLOGIA, A.C. (INECOL)",AREA DE ECOLOGIA BIOSISTEMATICA DE ANIMALES Y BIOGEOGRAFIA,Veracruz,MEXICO,NA
7421,107019,2005,2995,MARTINEZ_ MORALES_ GUADALUPE_ IMELDA,1,II.- BIOLOGIA Y QUIMICA,BIOLOGIA,ZOOLOGIA,COMPORTAMIENTO REPRODUCTIVO Y ECOLOGIA EN INSECTOS,"INSTITUTO DE ECOLOGIA, A.C. (INECOL)",AREA DE ECOLOGIA BIOSISTEMATICA DE ANIMALES Y BIOGEOGRAFIA,Veracruz,MEXICO,NA
7423,9142,1992,2995,MARTINEZ_ MORALES_ GUADALUPE_ IMELDA,1,II.- BIOLOGIA Y QUIMICA,BIOLOGIA,OTRAS SUBDISCIPLINAS DE LA BIOLOGIA,COMPORTAMIENTO REPRODUCTIVO Y ECOLOGIA EN INSECTOS,"INSTITUTO DE ECOLOGIA, A.C. (INECOL)",No Disponible,Veracruz,NA,NA
7430,239898,2014,26206,MARTINEZ_ MORALES_ MIGUEL_ ANGEL,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,OTRAS ESPECIALIDADES EN MATERIA DE BIOLOGIA,ECOLOGIA,"EL COLEGIO DE LA FRONTERA SUR, (ECOSUR)",UNIDAD CAMPECHE,Campeche,MEXICO,26206
7431,256634,2015,26206,MARTINEZ_ MORALES_ MIGUEL_ ANGEL,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,,ECOLOGIA,"EL COLEGIO DE LA FRONTERA SUR, (ECOSUR)",UNIDAD CAMPECHE,Campeche,MEXICO,NA
7432,279870,2016,26206,MARTINEZ_ MORALES_ MIGUEL_ ANGEL,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,OTRAS ESPECIALIDADES EN MATERIA DE BIOLOGIA,ECOLOGIA,"EL COLEGIO DE LA FRONTERA SUR, (ECOSUR)",UNIDAD CAMPECHE,Campeche,MEXICO,NA
7433,304873,2017,26206,MARTINEZ_ MORALES_ MIGUEL_ ANGEL,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,OTRAS ESPECIALIDADES EN MATERIA DE BIOLOGIA,ECOLOGIA,"EL COLEGIO DE LA FRONTERA SUR, (ECOSUR)",UNIDAD CAMPECHE,Campeche,MEXICO,NA
7427,181906,2011,26206,MARTINEZ_ MORALES_ MIGUEL_ ANGEL,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,OTRAS ESPECIALIDADES EN MATERIA DE BIOLOGIA,"ECOLOGIA DEL PAISAJE, BIOLOG-A DE LA CONSERVACI╦N",UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE ECOLOGIA,Ciudad de Mexico,MEXICO,26206
7428,200058,2012,26206,MARTINEZ_ MORALES_ MIGUEL_ ANGEL,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,OTRAS ESPECIALIDADES EN MATERIA DE BIOLOGIA,"ECOLOGIA DEL PAISAJE, BIOLOGIA DE LA CONSERVACION","EL COLEGIO DE LA FRONTERA SUR, (ECOSUR)",UNIDAD CAMPECHE,Campeche,MEXICO,26206
7429,219189,2013,26206,MARTINEZ_ MORALES_ MIGUEL_ ANGEL,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,OTRAS ESPECIALIDADES EN MATERIA DE BIOLOGIA,"ECOLOGIA DEL PAISAJE, BIOLOGIA DE LA CONSERVACION","EL COLEGIO DE LA FRONTERA SUR, (ECOSUR)",UNIDAD CAMPECHE,Campeche,MEXICO,26206
7434,331886,2018,26206,MARTINEZ_ MORALES_ MIGUEL_ ANGEL,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,OTRAS ESPECIALIDADES EN MATERIA DE BIOLOGIA,"ECOLOGIA DEL PAISAJE, BIOLOGIA DE LA CONSERVACION","EL COLEGIO DE LA FRONTERA SUR, (ECOSUR)",UNIDAD CAMPECHE,Campeche,MEXICO,NA
7435,360406,2019,26206,MARTINEZ_ MORALES_ MIGUEL_ ANGEL,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,,"ECOLOGIA DEL PAISAJE, BIOLOGIA DE LA CONSERVACION","EL COLEGIO DE LA FRONTERA SUR, (ECOSUR)",UNIDAD SAN CRISTOBAL DE LAS CASAS,Chiapas,MEXICO,NA
7436,390835,2020,26206,MARTINEZ_ MORALES_ MIGUEL_ ANGEL,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,OTRAS ESPECIALIDADES EN MATERIA DE BIOLOGIA,"ECOLOGIA DEL PAISAJE, BIOLOGIA DE LA CONSERVACION",NA,NA,NA,MEXICO,NA
7437,133418,2008,26206,MARTINEZ_ MORALES_ MIGUEL_ ANGEL,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,,"ECOLOGIA DEL PAISAJE, BIOLOGIA DE LA CONSERVACION",UNIVERSIDAD AUTONOMA DEL ESTADO DE HIDALGO,INSTITUTO DE CIENCIAS BASICAS E INGENIERIA,Hidalgo,MEXICO,26206
7424,77472,2002,26206,MARTINEZ_ MORALES_ MIGUEL_ ANGEL,C,II.- BIOLOGIA Y QUIMICA,BIOLOGIA,ECOLOGIA,"ECOLOGIA DEL PAISAJE, BIOLOGIA DE LA CONSERVACION ORNITOLOGI",UNIVERSIDAD AUTONOMA DEL ESTADO DE HIDALGO,CENTRO DE INVESTIGACIONES BIOLOGICAS,Hidalgo,MEXICO,NA
7425,86671,2003,26206,MARTINEZ_ MORALES_ MIGUEL_ ANGEL,C,II.- BIOLOGIA Y QUIMICA,BIOLOGIA,ECOLOGIA,"ECOLOGIA DEL PAISAJE, BIOLOGIA DE LA CONSERVACION ORNITOLOGI",UNIVERSIDAD AUTONOMA DEL ESTADO DE HIDALGO,CENTRO DE INVESTIGACIONES BIOLOGICAS,Hidalgo,MEXICO,NA
7426,107022,2005,26206,MARTINEZ_ MORALES_ MIGUEL_ ANGEL,C,II.- BIOLOGIA Y QUIMICA,BIOLOGIA,ECOLOGIA,"ECOLOGIA DEL PAISAJE, BIOLOGIA DE LA CONSERVACION ORNITOLOGI",UNIVERSIDAD AUTONOMA DEL ESTADO DE HIDALGO,CENTRO DE INVESTIGACIONES BIOLOGICAS,Hidalgo,MEXICO,NA
7438,476820,2023,101106,MARTINEZ_ MOTA_ RODOLFO,1,II.- BIOLOGIA Y QUIMICA,BIOLOGIA ANIMAL (ZOOLOGIA),NA,ECOLOGIA ANIMAL,UNIVERSIDAD VERACRUZANA,NA,NA,MEXICO,NA
7439,516803,2024,101106,MARTINEZ_ MOTA_ RODOLFO,1,NA,BIOLOGIA ANIMAL (ZOOLOGIA),NA,ECOLOGIA ANIMAL,NA,NA,NA,MEXICO,NA
7440,341452,2018,168208,MARTINEZ_ NATAREN_ DANIELA_ ALEJANDRA,C,VI.- BIOTECNOLOGIA Y CIENCIAS AGROPECUARIAS,CIENCIAS DE LA VIDA,OTRAS ESPECIALIDADES EN MATERIA DE BIOLOGIA,ECOLOGIA Y DIVERSIDAD GENETICA DE PLANTAS,CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL INSTITUTO POLITECNICO NACIONAL,UNIDAD MERIDA,Yucatan,MEXICO,NA
7441,370018,2019,168208,MARTINEZ_ NATAREN_ DANIELA_ ALEJANDRA,C,VI.- BIOTECNOLOGIA Y CIENCIAS AGROPECUARIAS,CIENCIAS DE LA VIDA,,ECOLOGIA Y DIVERSIDAD GENETICA DE PLANTAS,CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL INSTITUTO POLITECNICO NACIONAL,UNIDAD MERIDA,Yucatan,MEXICO,NA
7442,400725,2020,168208,MARTINEZ_ NATAREN_ DANIELA_ ALEJANDRA,1,VI.- BIOTECNOLOGIA Y CIENCIAS AGROPECUARIAS,CIENCIAS DE LA VIDA,OTRAS ESPECIALIDADES EN MATERIA DE BIOLOGIA,ECOLOGIA Y DIVERSIDAD GENETICA DE PLANTAS,CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL INSTITUTO POLITECNICO NACIONAL,UNIDAD MERIDA,Yucatan,MEXICO,NA
7443,433841,2022,168208,MARTINEZ_ NATAREN_ DANIELA_ ALEJANDRA,1,"VII. CIENCIAS DE AGRICULTURA, AGROPECUARIAS, FORESTALES Y DE ECOSISTEMAS",OTRAS ESPECIALIDADES EN MATERIA DE BIOLOGIA,,ECOLOGIA Y DIVERSIDAD GENETICA DE PLANTAS,NA,UNIDAD MERIDA,NA,MEXICO,NA
7444,476880,2023,225819,MARTINEZ_ PERALTA_ CONCEPCION,1,II.- BIOLOGIA Y QUIMICA,ECOLOGIA,NA,CONSERVACION ECOLOGICA,UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS (UAEM),NA,NA,MEXICO,NA
7445,293587,2016,225819,MARTINEZ_ PERALTA_ CONCEPCION,C,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,OTRAS ESPECIALIDADES EN MATERIA DE BIOLOGIA,ECOLOGIA DE LA POLINIZACION,UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS,ESCUELA DE ESTUDIOS SUPERIORES DE JOJUTLA,Morelos,MEXICO,NA
7446,319119,2017,225819,MARTINEZ_ PERALTA_ CONCEPCION,C,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,OTRAS ESPECIALIDADES EN MATERIA DE BIOLOGIA,ECOLOGIA DE LA POLINIZACION,UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS,ESCUELA DE ESTUDIOS SUPERIORES DE JOJUTLA,Morelos,MEXICO,NA
7447,346168,2018,225819,MARTINEZ_ PERALTA_ CONCEPCION,C,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,OTRAS ESPECIALIDADES EN MATERIA DE BIOLOGIA,ECOLOGIA DE LA POLINIZACION,UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS,ESCUELA DE ESTUDIOS SUPERIORES DE JOJUTLA,Morelos,MEXICO,NA
7448,438736,2022,225819,MARTINEZ_ PERALTA_ CONCEPCION,1,II.- BIOLOGIA Y QUIMICA,OTRAS ESPECIALIDADES EN MATERIA DE BIOLOGIA,,ECOLOGIA DE LA POLINIZACION,NA,,NA,MEXICO,NA
7449,526217,2024,225819,MARTINEZ_ PERALTA_ CONCEPCION,1,NA,ECOLOGIA,NA,ECOLOGIA Y CIENCIAS AMBIENTALES,NA,NA,NA,MEXICO,NA
7450,476886,2023,311627,MARTINEZ_ PEREZ_ CECILIA_ GUADALUPE,1,II.- BIOLOGIA Y QUIMICA,ECOLOGIA,NA,ECOLOGIA Y CIENCIAS AMBIENTALES,CONSEJO NACIONAL DE CIENCIA Y TECNOLOGIA/ UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO (UNAM),NA,NA,MEXICO,NA
7466,251372,2015,5517,MARTINEZ_ RAMOS_ MIGUEL,3,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,,ECOLOGIA,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,CENTRO DE INVESTIGACIONES EN ECOSISTEMAS,Michoacan,MEXICO,NA
7467,274659,2016,5517,MARTINEZ_ RAMOS_ MIGUEL,3,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,OTRAS ESPECIALIDADES EN MATERIA DE BIOLOGIA,ECOLOGIA,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE INVESTIGACIONES EN ECOSISTEMAS Y SUSTENTABILIDA,Michoacan,MEXICO,NA
7468,299717,2017,5517,MARTINEZ_ RAMOS_ MIGUEL,3,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,OTRAS ESPECIALIDADES EN MATERIA DE BIOLOGIA,ECOLOGIA,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE INVESTIGACIONES EN ECOSISTEMAS Y SUSTENTABILIDA,Michoacan,MEXICO,NA
7469,326846,2018,5517,MARTINEZ_ RAMOS_ MIGUEL,3,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,OTRAS ESPECIALIDADES EN MATERIA DE BIOLOGIA,ECOLOGIA,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE INVESTIGACIONES EN ECOSISTEMAS Y SUSTENTABILIDA,Michoacan,MEXICO,NA
7470,355438,2019,5517,MARTINEZ_ RAMOS_ MIGUEL,3,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,,ECOLOGIA,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,INSTITUTO DE INVESTIGACIONES EN ECOSISTEMAS Y SUSTENTABILIDA,Michoacan,MEXICO,NA
